,Country,Happines Score,Social support,Health (Life Expectancy),Trust (Government Corruption),Generosity,Freedom,Economy (GDP per Capita),year,Population,density,hpe,giniWB
0,Libya,5.754,1.11862,0.7038,0.11023,0.18295,0.41668,1.13145,2015,6192235.0,3.519235141002762,,
1,Algeria,5.605,1.07772,0.61766,0.17383,0.07822,0.28579,0.93929,2015,39543154.0,16.602625558362558,42.0,27.6
2,Mauritius,5.477,0.98521,0.7095,0.07521,0.37744,0.56066,1.00761,2015,1262605.0,621.9729064039409,40.0,36.8
3,Nigeria,5.268,0.90432,0.16007,0.0403,0.27233,0.34334,0.65435,2015,183995785.0,202.0222284440638,38.0,35.1
4,Zambia,5.129,0.91612,0.29924,0.12468,0.19591,0.48827,0.47038,2015,16248230.0,21.856939157104616,42.0,57.1
5,Morocco,5.013,0.64095,0.60954,0.08546,0.07172,0.41691,0.73479,2015,34680458.0,77.70660542236163,,39.5
6,Mozambique,4.971,1.02626,0.09131,0.15603,0.22269,0.34037,0.08308,2015,26843246.0,34.1352094407284,42.0,54.0
7,Lesotho,4.898,1.04103,0.07612,0.12504,0.16388,0.31767,0.37545,2015,2118521.0,69.78000658761529,50.0,44.9
8,Tunisia,4.739,0.60429,0.73793,0.06358,0.06431,0.26268,0.88113,2015,11557779.0,74.39353115345006,46.0,32.8
9,South Africa,4.642,1.18468,0.27688,0.08884,0.11973,0.33207,0.92049,2015,55876504.0,46.06130130493203,42.0,63.0
10,Ghana,4.633,0.67954,0.40132,0.04355,0.23087,0.42342,0.54558,2015,28870939.0,126.88682081280517,34.0,43.5
11,Zimbabwe,4.61,1.03276,0.33475,0.08079,0.18987,0.25861,0.271,2015,14154937.0,36.59024686571022,40.0,50.3
12,Liberia,4.571,0.78968,0.34201,0.06232,0.24362,0.28531,0.0712,2015,4612329.0,47.88547549833887,43.0,35.3
13,Sudan,4.55,1.01404,0.36878,0.1466,0.19062,0.10081,0.52107,2015,38171178.0,20.434249464668095,,34.2
14,Ethiopia,4.512,0.60406,0.44055,0.15048,0.24325,0.4345,0.19073,2015,102471895.0,90.79789480551767,,35.0
15,Sierra Leone,4.507,0.95571,0.0,0.08786,0.21488,0.4084,0.33024,2015,7314773.0,101.34071765031865,,35.7
16,Mauritania,4.436,0.86908,0.35874,0.17461,0.219,0.24232,0.45407,2015,3946220.0,3.8286795381779375,54.0,32.6
17,Kenya,4.419,0.99876,0.41435,0.05839,0.37542,0.42215,0.36471,2015,46851488.0,82.31979477808623,48.0,40.8
18,Djibouti,4.369,0.59207,0.36291,0.28105,0.18093,0.46074,0.44025,2015,1006259.0,43.41065573770492,32.0,41.6
19,Botswana,4.332,1.10464,0.04776,0.12474,0.10461,0.49495,0.99355,2015,2305171.0,4.067494221234098,47.0,53.3
20,Malawi,4.292,0.41134,0.22562,0.06977,0.33128,0.43054,0.01604,2015,16938942.0,179.66633432329232,34.0,44.7
21,Cameroon,4.252,0.88767,0.23402,0.05786,0.20618,0.49309,0.4225,2015,23012646.0,48.68237608681856,,46.6
22,Egypt,4.194,0.747,0.61712,0.06324,0.11291,0.17288,0.8818,2015,97723799.0,98.17047465970164,53.0,31.5
23,Angola,4.033,0.8604,0.16683,0.07122,0.12344,0.10384,0.75778,2015,28127721.0,22.56173979305366,,51.3
24,Mali,3.995,1.03526,0.20583,0.12352,0.18798,0.38857,0.26074,2015,18112907.0,14.844333259574329,37.0,33.0
25,Comoros,3.956,0.79273,0.36315,0.199,0.17441,0.22917,0.23906,2015,730216.0,392.37829124126813,,45.3
26,Uganda,3.931,1.13299,0.33861,0.07267,0.29066,0.45727,0.21102,2015,37477356.0,186.90083782166369,39.0,42.8
27,Senegal,3.904,0.97619,0.4354,0.10713,0.20843,0.36772,0.36498,2015,14356181.0,74.56594296992677,44.0,40.3
28,Gabon,3.896,0.90528,0.43372,0.11091,0.06822,0.31914,1.06024,2015,2028517.0,7.872538518259789,,38.0
29,Niger,3.845,0.77265,0.29707,0.15639,0.19387,0.47692,0.0694,2015,20128124.0,15.890206047209285,36.0,34.3
30,Tanzania,3.781,1.00268,0.38215,0.05747,0.34377,0.32878,0.2852,2015,52542823.0,59.31680176111989,45.0,40.5
31,Madagascar,3.681,0.66801,0.46721,0.08124,0.21333,0.19184,0.20824,2015,24850912.0,42.71383980749398,36.0,42.6
32,Central African Republic,3.678,0.0,0.06699,0.08289,0.23835,0.48879,0.0785,2015,4819333.0,7.735935343028669,,56.2
33,Chad,3.667,0.76062,0.1501,0.05269,0.18386,0.23501,0.34193,2015,14140274.0,11.22956956797967,35.0,43.3
34,Guinea,3.656,0.46475,0.24009,0.12139,0.28657,0.37725,0.17417,2015,11625998.0,47.314007813771774,,33.7
35,Burkina Faso,3.587,0.85188,0.27125,0.12832,0.21747,0.39493,0.25812,2015,18718019.0,68.41381213450292,50.0,35.3
36,Rwanda,3.465,0.7737,0.42864,0.55191,0.22628,0.59201,0.22208,2015,11642959.0,471.9480745845156,37.0,43.7
37,Benin,3.34,0.35386,0.3191,0.0801,0.1826,0.4845,0.28665,2015,10932783.0,96.95621674352607,44.0,47.8
38,Burundi,2.905,0.41587,0.22396,0.10062,0.19727,0.1185,0.0153,2015,10727148.0,417.72383177570094,37.0,38.6
39,Togo,2.839,0.13995,0.28443,0.10731,0.16681,0.36453,0.20868,2015,7473229.0,137.40079058650488,44.0,43.1
40,Algeria,6.355,0.83309,0.61804,0.16157,0.07044,0.21006,1.05266,2016,40339329.0,16.936908337220547,42.0,27.6
41,Mauritius,5.648,0.75695,0.66189,0.05203,0.36951,0.46145,1.14372,2016,1263473.0,622.4004926108374,40.0,36.8
42,Libya,5.615,0.95076,0.52304,0.10339,0.17087,0.40672,1.06688,2016,6282196.0,3.5703627084351592,,
43,Somalia,5.44,0.33613,0.11466,0.3118,0.27225,0.56778,0.0,2016,14292847.0,22.783254694424077,31.0,36.8
44,Morocco,5.151,0.38595,0.59471,0.08404,0.04053,0.25646,0.84058,2016,35107264.0,78.66292628276943,,39.5
45,Tunisia,5.045,0.43165,0.59577,0.0817,0.03936,0.23553,0.97724,2016,11685667.0,75.21670314109166,46.0,32.8
46,Nigeria,4.875,0.64498,0.05108,0.0305,0.23219,0.27854,0.75216,2016,188666931.0,207.15101617312823,38.0,35.1
47,Zambia,4.795,0.6376,0.23573,0.11479,0.17866,0.42662,0.61202,2016,16767761.0,22.55580650802405,42.0,57.1
48,Sierra Leone,4.635,0.628,0.0,0.08196,0.23897,0.30685,0.36485,2016,7493913.0,103.82256857855361,,35.7
49,Namibia,4.574,0.70362,0.34745,0.10398,0.07795,0.48614,0.93287,2016,2323352.0,2.8220335483244057,45.0,59.1
